customer_id,income_tier,car_model,battery_capacity_kwh
C0082,Low-Mid,Hero Electric Optima,12.0
C0083,Mid-Range,Tata Nexon EV,30.2
C0084,Mid-Range,Hyundai Kona Electric,39.2
C0085,Mid-Range,Tata Tigor EV,26.0
C0086,Low-Mid,Tata Tiago EV,24.0
C0087,Low-Mid,Hero Electric Optima,12.0
C0088,Mid-Range,Hyundai Kona Electric,39.2
C0089,Low-Mid,Tata Tiago EV,24.0
C0090,Low-Mid,Tata Tiago EV,24.0
C0091,Low-Mid,Tata Tiago EV,24.0
C0092,Mid-Range,Tata Punch EV,35.0
C0093,Low-Mid,Tata Tiago EV,24.0
C0094,Mid-Range,Hyundai Kona Electric,39.2
C0095,Mid-Range,Tata Nexon EV,30.2
C0096,Low-Mid,Tata Tigor EV Base,21.5
C0097,Mid-Range,MG Comet EV,17.3
C0098,Mid-Range,Hyundai Kona Electric,39.2
C0099,High,Kia EV6,77.4
C0100,Mid-Range,Hyundai Kona Electric,39.2
C0101,High,Tata Nexon EV Max,40.5
C0102,Low-Mid,Citroen eC3 Feel,29.2
C0103,Low-Mid,Greaves Eltra,16.0
C0104,Low-Mid,Greaves Eltra,16.0
C0105,Low-Mid,Tata Tigor EV Base,21.5
C0106,Low-Mid,Hero Electric Optima,12.0
C0107,Low-Mid,Citroen eC3 Feel,29.2
C0108,High,BYD Atto 3 Superior,60.5
C0109,Low-Mid,Greaves Eltra,16.0
C0110,High,Audi e-tron 55,95.0
C0111,Low-Mid,Greaves Eltra,16.0
C0112,High,BMW iX1,66.5
C0113,Mid-Range,MG Comet EV,17.3
C0114,Mid-Range,Citroen eC3,29.2
C0115,Low-Mid,Greaves Eltra,16.0
C0116,Low-Mid,Tata Tigor EV Base,21.5
C0117,Low-Mid,Tata Tiago EV,24.0
C0118,Mid-Range,Tata Punch EV,35.0
C0119,Low-Mid,Ampere Nexus,30.0
C0120,Low-Mid,Ampere Nexus,30.0
C0121,Low-Mid,Tata Tigor EV Base,21.5
C0122,Low-Mid,Hero Electric Optima,12.0
C0123,Low-Mid,Tata Tiago EV,24.0
C0124,Mid-Range,Tata Tigor EV,26.0
C0125,Low-Mid,Tata Tiago EV,24.0
C0126,Mid-Range,Mahindra e2o Plus,18.5
C0127,Low-Mid,Citroen eC3 Feel,29.2
C0128,Mid-Range,Tata Tigor EV,26.0
C0129,Mid-Range,Citroen eC3,29.2
C0130,Low-Mid,Tata Tigor EV Base,21.5
C0131,Low-Mid,Ather 450X (4W equiv),20.0
C0132,Low-Mid,Hero Electric Optima,12.0
C0133,Mid-Range,Citroen eC3,29.2
C0134,Low-Mid,Tata Tiago EV,24.0
C0135,Low-Mid,Tata Tigor EV Base,21.5
C0136,Mid-Range,Citroen eC3,29.2
C0137,High,Tata Nexon EV Max,40.5
C0138,Low-Mid,Ampere Nexus,30.0
C0139,Low-Mid,Greaves Eltra,16.0
C0140,Low-Mid,Citroen eC3 Feel,29.2
C0141,Low-Mid,Ather 450X (4W equiv),20.0
C0142,Low-Mid,Tata Tiago EV,24.0
C0143,Low-Mid,Citroen eC3 Feel,29.2
C0144,Low-Mid,Hero Electric Optima,12.0
C0145,Mid-Range,Tata Punch EV,35.0
C0146,High,Audi e-tron 55,95.0
C0147,Mid-Range,Mahindra e2o Plus,18.5
C0148,Low-Mid,Ampere Nexus,30.0
C0149,Mid-Range,Citroen eC3,29.2
C0150,High,Hyundai Ioniq 5,72.6
C0151,Mid-Range,Tata Nexon EV,30.2
C0152,Low-Mid,Tata Tigor EV Base,21.5
C0153,Low-Mid,Tata Tigor EV Base,21.5
C0154,Low-Mid,Greaves Eltra,16.0
C0155,Low-Mid,Ampere Nexus,30.0
C0156,Mid-Range,Citroen eC3,29.2
C0157,Mid-Range,Tata Tigor EV,26.0
C0158,High,BYD Atto 3 Superior,60.5
C0159,Low-Mid,Citroen eC3 Feel,29.2
C0160,Mid-Range,Mahindra XUV400 EC Pro,39.4
C0161,Low-Mid,Hero Electric Optima,12.0
C0162,High,BMW iX1,66.5
C0163,High,Audi e-tron 55,95.0
C0164,Mid-Range,Hyundai Kona Electric,39.2
C0165,Low-Mid,Ola S1 Pro (4W equiv),22.0
C0166,Low-Mid,Ather 450X (4W equiv),20.0
C0167,Mid-Range,Tata Nexon EV,30.2
C0168,High,Audi e-tron 55,95.0
C0169,High,BYD Atto 3 Superior,60.5
C0170,Mid-Range,Hyundai Kona Electric,39.2
C0171,Mid-Range,Hyundai Kona Electric,39.2
C0172,High,Kia EV6,77.4
C0173,Low-Mid,Ampere Nexus,30.0
C0174,Mid-Range,Citroen eC3,29.2
C0175,High,Tata Nexon EV Max,40.5
C0176,Low-Mid,Greaves Eltra,16.0
C0177,Mid-Range,Mahindra XUV400 EC Pro,39.4
C0178,Low-Mid,Tata Tiago EV,24.0
C0179,High,BYD Atto 3 Superior,60.5
C0180,Mid-Range,Citroen eC3,29.2
C0181,Mid-Range,Hyundai Kona Electric,39.2
C0182,Mid-Range,MG Comet EV,17.3
C0183,Low-Mid,Tata Tiago EV,24.0
C0184,High,Mercedes EQB,66.5
C0185,Low-Mid,Greaves Eltra,16.0
C0186,High,BYD Atto 3 Superior,60.5
C0187,High,Kia EV6,77.4
C0188,Mid-Range,Citroen eC3,29.2
C0189,High,Volvo XC40 Recharge,75.0
C0190,Mid-Range,Tata Tigor EV,26.0
C0191,Low-Mid,Greaves Eltra,16.0
C0192,Low-Mid,Tata Tigor EV Base,21.5
C0193,Mid-Range,Hyundai Kona Electric,39.2
C0194,Low-Mid,Ather 450X (4W equiv),20.0
C0195,Mid-Range,Tata Tigor EV,26.0
C0196,Mid-Range,Tata Nexon EV,30.2
C0197,High,Mercedes EQB,66.5
C0198,Low-Mid,Ola S1 Pro (4W equiv),22.0
C0199,Mid-Range,Tata Punch EV,35.0
C0200,Low-Mid,Ather 450X (4W equiv),20.0
C0201,Low-Mid,Greaves Eltra,16.0
C0202,Low-Mid,Tata Tigor EV Base,21.5
C0203,Low-Mid,Ola S1 Pro (4W equiv),22.0
C0204,Mid-Range,Tata Nexon EV,30.2
C0205,High,Mercedes EQB,66.5
C0206,Mid-Range,Mahindra e2o Plus,18.5
C0207,Mid-Range,Hyundai Kona Electric,39.2
C0208,Low-Mid,Greaves Eltra,16.0
C0209,Low-Mid,Citroen eC3 Feel,29.2
C0210,Mid-Range,Tata Punch EV,35.0
C0211,Low-Mid,Tata Tiago EV,24.0
C0212,Low-Mid,Ampere Nexus,30.0
C0213,Low-Mid,Citroen eC3 Feel,29.2
C0214,Mid-Range,Tata Tigor EV,26.0
C0215,High,Kia EV6,77.4
C0216,Mid-Range,Tata Punch EV,35.0
C0217,Low-Mid,Ampere Nexus,30.0
C0218,Low-Mid,Citroen eC3 Feel,29.2
C0219,High,Hyundai Ioniq 5,72.6
C0220,Low-Mid,Tata Tiago EV,24.0
C0221,High,Mercedes EQB,66.5
C0222,Low-Mid,Ampere Nexus,30.0
C0223,High,BYD Atto 3 Superior,60.5
C0224,Low-Mid,Tata Tigor EV Base,21.5
C0225,Low-Mid,Tata Tigor EV Base,21.5
C0226,High,BYD Atto 3 Superior,60.5
C0227,Low-Mid,Ather 450X (4W equiv),20.0
C0228,High,Audi e-tron 55,95.0
C0229,Mid-Range,MG Comet EV,17.3
C0230,Low-Mid,Hero Electric Optima,12.0
C0231,Low-Mid,Ola S1 Pro (4W equiv),22.0
C0232,Low-Mid,Citroen eC3 Feel,29.2
C0233,High,MG ZS EV Exclusive,50.3
C0234,Low-Mid,Hero Electric Optima,12.0
C0235,Low-Mid,Citroen eC3 Feel,29.2
C0236,Low-Mid,Ather 450X (4W equiv),20.0
C0237,Low-Mid,Ola S1 Pro (4W equiv),22.0
C0238,High,Mercedes EQB,66.5
C0239,Low-Mid,Tata Tigor EV Base,21.5
C0240,Mid-Range,Hyundai Kona Electric,39.2
C0241,Mid-Range,Mahindra e2o Plus,18.5
C0242,Low-Mid,Ather 450X (4W equiv),20.0
C0243,Low-Mid,Greaves Eltra,16.0
C0244,Mid-Range,Tata Punch EV,35.0
C0245,Mid-Range,Tata Nexon EV,30.2
C0246,Mid-Range,Tata Tigor EV,26.0
C0247,Low-Mid,Ather 450X (4W equiv),20.0
C0248,Mid-Range,MG Comet EV,17.3
C0249,Low-Mid,Tata Tiago EV,24.0
C0250,Mid-Range,Tata Punch EV,35.0
C0251,Low-Mid,Ather 450X (4W equiv),20.0
C0252,Mid-Range,MG Comet EV,17.3
C0253,High,BMW iX1,66.5
C0254,Low-Mid,Hero Electric Optima,12.0
C0255,Mid-Range,MG Comet EV,17.3
C0256,High,Hyundai Ioniq 5,72.6
C0257,High,Kia EV6,77.4
C0258,High,Kia EV6,77.4
C0259,High,Volvo XC40 Recharge,75.0
C0260,Low-Mid,Ather 450X (4W equiv),20.0
C0261,Low-Mid,Ampere Nexus,30.0
C0262,High,Audi e-tron 55,95.0
C0263,Mid-Range,Tata Punch EV,35.0
C0264,Low-Mid,Citroen eC3 Feel,29.2
C0265,Low-Mid,Citroen eC3 Feel,29.2
C0266,Mid-Range,Tata Nexon EV,30.2
C0267,Mid-Range,Tata Tigor EV,26.0
C0268,Low-Mid,Ather 450X (4W equiv),20.0
C0269,Low-Mid,Hero Electric Optima,12.0
C0270,Mid-Range,Hyundai Kona Electric,39.2
C0271,Low-Mid,Greaves Eltra,16.0
C0272,Mid-Range,Hyundai Kona Electric,39.2
C0273,Mid-Range,Citroen eC3,29.2
C0274,High,BYD Atto 3 Superior,60.5
C0275,Low-Mid,Hero Electric Optima,12.0
C0276,Mid-Range,Citroen eC3,29.2
C0277,Mid-Range,Tata Punch EV,35.0
C0278,Low-Mid,Hero Electric Optima,12.0
C0279,High,Audi e-tron 55,95.0
C0280,Low-Mid,Tata Tiago EV,24.0
C0281,Low-Mid,Ola S1 Pro (4W equiv),22.0
C0282,Low-Mid,Ather 450X (4W equiv),20.0
C0283,Low-Mid,Tata Tiago EV,24.0
C0284,Low-Mid,Ather 450X (4W equiv),20.0
C0285,Mid-Range,Citroen eC3,29.2
C0286,High,Tata Nexon EV Max,40.5
C0287,Mid-Range,MG Comet EV,17.3
C0288,Mid-Range,Mahindra XUV400 EC Pro,39.4
C0289,Mid-Range,Mahindra XUV400 EC Pro,39.4
C0290,Low-Mid,Ather 450X (4W equiv),20.0
C0291,Low-Mid,Citroen eC3 Feel,29.2
C0292,High,Mercedes EQB,66.5
C0293,Mid-Range,Tata Nexon EV,30.2
C0294,Mid-Range,Mahindra XUV400 EC Pro,39.4
C0295,Mid-Range,Tata Punch EV,35.0
C0296,Low-Mid,Citroen eC3 Feel,29.2
C0297,Low-Mid,Ather 450X (4W equiv),20.0
C0298,Low-Mid,Citroen eC3 Feel,29.2
C0299,Low-Mid,Tata Tigor EV Base,21.5
C0300,High,Mercedes EQB,66.5
C0301,Low-Mid,Ather 450X (4W equiv),20.0
C0302,Mid-Range,Hyundai Kona Electric,39.2
C0303,High,Mercedes EQB,66.5
C0304,Mid-Range,Mahindra XUV400 EC Pro,39.4
C0305,Low-Mid,Citroen eC3 Feel,29.2
C0306,Mid-Range,Tata Tigor EV,26.0
C0307,Low-Mid,Ampere Nexus,30.0
C0308,High,Tata Nexon EV Max,40.5
C0309,Low-Mid,Hero Electric Optima,12.0
C0310,Low-Mid,Tata Tiago EV,24.0
C0311,Mid-Range,Tata Tigor EV,26.0
C0312,High,BMW iX1,66.5
C0313,Low-Mid,Hero Electric Optima,12.0
C0314,Low-Mid,Ola S1 Pro (4W equiv),22.0
C0315,Mid-Range,Hyundai Kona Electric,39.2
C0316,High,Kia EV6,77.4
C0317,Low-Mid,Ather 450X (4W equiv),20.0
C0318,Low-Mid,Citroen eC3 Feel,29.2
C0319,Mid-Range,Tata Tigor EV,26.0
C0320,Low-Mid,Greaves Eltra,16.0
C0321,Low-Mid,Ampere Nexus,30.0
C0322,Low-Mid,Ampere Nexus,30.0
C0323,Low-Mid,Citroen eC3 Feel,29.2
C0324,Mid-Range,Tata Tigor EV,26.0
C0325,Low-Mid,Ather 450X (4W equiv),20.0
C0326,Low-Mid,Tata Tiago EV,24.0
C0327,Mid-Range,MG Comet EV,17.3
C0328,High,Kia EV6,77.4
C0329,High,Mercedes EQB,66.5
C0330,Mid-Range,Tata Punch EV,35.0
C0331,Mid-Range,Tata Tigor EV,26.0
C0332,Mid-Range,Tata Tigor EV,26.0
C0333,Low-Mid,Ather 450X (4W equiv),20.0
C0334,Low-Mid,Ampere Nexus,30.0
C0335,Low-Mid,Citroen eC3 Feel,29.2
C0336,High,Tata Nexon EV Max,40.5
C0337,Low-Mid,Ather 450X (4W equiv),20.0
C0338,Low-Mid,Ola S1 Pro (4W equiv),22.0
C0339,High,Kia EV6,77.4
C0340,Mid-Range,Mahindra e2o Plus,18.5
C0341,High,Audi e-tron 55,95.0
C0342,Low-Mid,Hero Electric Optima,12.0
C0343,Low-Mid,Hero Electric Optima,12.0
C0344,Mid-Range,Hyundai Kona Electric,39.2
C0345,Mid-Range,MG Comet EV,17.3
C0346,Mid-Range,Citroen eC3,29.2
C0347,Low-Mid,Hero Electric Optima,12.0
C0348,High,Hyundai Ioniq 5,72.6
C0349,Low-Mid,Hero Electric Optima,12.0
C0350,High,BMW iX1,66.5
C0351,Low-Mid,Ather 450X (4W equiv),20.0
C0352,High,Hyundai Ioniq 5,72.6
C0353,Mid-Range,Citroen eC3,29.2
C0354,Mid-Range,MG Comet EV,17.3
C0355,Low-Mid,Ather 450X (4W equiv),20.0
C0356,Low-Mid,Hero Electric Optima,12.0
C0357,Mid-Range,Tata Tigor EV,26.0
C0358,Mid-Range,Hyundai Kona Electric,39.2
C0359,Mid-Range,Hyundai Kona Electric,39.2
C0360,Low-Mid,Ola S1 Pro (4W equiv),22.0
C0361,Low-Mid,Greaves Eltra,16.0
C0362,Mid-Range,Mahindra e2o Plus,18.5
C0363,High,Audi e-tron 55,95.0
C0364,Mid-Range,Tata Punch EV,35.0
C0365,Mid-Range,Tata Tigor EV,26.0
C0366,Mid-Range,Tata Tigor EV,26.0
C0367,Low-Mid,Hero Electric Optima,12.0
C0368,Low-Mid,Greaves Eltra,16.0
C0369,High,Volvo XC40 Recharge,75.0
C0370,Low-Mid,Greaves Eltra,16.0
C0371,Mid-Range,Citroen eC3,29.2
C0372,Mid-Range,Mahindra e2o Plus,18.5
C0373,Mid-Range,Citroen eC3,29.2
C0374,Mid-Range,Citroen eC3,29.2
C0375,Mid-Range,Hyundai Kona Electric,39.2
C0376,Mid-Range,Tata Tigor EV,26.0
C0377,Mid-Range,Tata Tigor EV,26.0
C0378,Low-Mid,Greaves Eltra,16.0
C0379,Low-Mid,Ampere Nexus,30.0
C0380,Low-Mid,Tata Tigor EV Base,21.5
C0381,High,Mercedes EQB,66.5
C0382,Low-Mid,Tata Tigor EV Base,21.5
C0383,Low-Mid,Citroen eC3 Feel,29.2
C0384,Low-Mid,Tata Tigor EV Base,21.5
C0385,High,Kia EV6,77.4
C0386,Mid-Range,Tata Nexon EV,30.2
C0387,High,Tata Nexon EV Max,40.5
C0388,Low-Mid,Greaves Eltra,16.0
C0389,High,Hyundai Ioniq 5,72.6
C0390,Mid-Range,Hyundai Kona Electric,39.2
C0391,Mid-Range,Citroen eC3,29.2
C0392,Mid-Range,MG Comet EV,17.3
C0393,Low-Mid,Ather 450X (4W equiv),20.0
C0394,Mid-Range,MG Comet EV,17.3
C0395,High,MG ZS EV Exclusive,50.3
C0396,Mid-Range,Mahindra XUV400 EC Pro,39.4
C0397,Mid-Range,Mahindra e2o Plus,18.5
C0398,Low-Mid,Tata Tiago EV,24.0
C0399,Mid-Range,Mahindra e2o Plus,18.5
C0400,Low-Mid,Hero Electric Optima,12.0
C0401,High,Volvo XC40 Recharge,75.0
C0402,High,MG ZS EV Exclusive,50.3
C0403,Low-Mid,Tata Tiago EV,24.0
C0404,High,MG ZS EV Exclusive,50.3
C0405,Mid-Range,Tata Nexon EV,30.2
C0406,High,Volvo XC40 Recharge,75.0
C0407,Low-Mid,Ola S1 Pro (4W equiv),22.0
C0408,Low-Mid,Ola S1 Pro (4W equiv),22.0
C0409,High,Mercedes EQB,66.5
C0410,Low-Mid,Tata Tigor EV Base,21.5
C0411,Low-Mid,Tata Tiago EV,24.0
C0412,Low-Mid,Ampere Nexus,30.0
C0413,Low-Mid,Greaves Eltra,16.0
C0414,High,BYD Atto 3 Superior,60.5
C0415,Low-Mid,Ampere Nexus,30.0
C0416,Mid-Range,Tata Tigor EV,26.0
C0417,High,Hyundai Ioniq 5,72.6
C0418,High,Volvo XC40 Recharge,75.0
C0419,Low-Mid,Ola S1 Pro (4W equiv),22.0
C0420,Mid-Range,Mahindra XUV400 EC Pro,39.4
C0421,High,Tata Nexon EV Max,40.5
C0422,Low-Mid,Citroen eC3 Feel,29.2
C0423,Low-Mid,Hero Electric Optima,12.0
C0424,Mid-Range,Tata Tigor EV,26.0
C0425,Low-Mid,Greaves Eltra,16.0
C0426,Mid-Range,Hyundai Kona Electric,39.2
C0427,Low-Mid,Greaves Eltra,16.0
C0428,Low-Mid,Ampere Nexus,30.0
C0429,Low-Mid,Hero Electric Optima,12.0
C0430,High,Mercedes EQB,66.5
C0431,Low-Mid,Greaves Eltra,16.0
C0432,Low-Mid,Hero Electric Optima,12.0
C0433,Low-Mid,Tata Tigor EV Base,21.5
C0434,Low-Mid,Citroen eC3 Feel,29.2
C0435,Low-Mid,Greaves Eltra,16.0
C0436,Low-Mid,Greaves Eltra,16.0
C0437,Low-Mid,Ampere Nexus,30.0
C0438,Low-Mid,Tata Tigor EV Base,21.5
C0439,Mid-Range,Tata Tigor EV,26.0
C0440,High,Kia EV6,77.4
C0441,Low-Mid,Ather 450X (4W equiv),20.0
C0442,Mid-Range,Mahindra e2o Plus,18.5
C0443,Low-Mid,Tata Tigor EV Base,21.5
C0444,Low-Mid,Citroen eC3 Feel,29.2
C0445,Low-Mid,Ather 450X (4W equiv),20.0
C0446,Low-Mid,Citroen eC3 Feel,29.2
C0447,Low-Mid,Hero Electric Optima,12.0
C0448,Low-Mid,Citroen eC3 Feel,29.2
C0449,High,Kia EV6,77.4
C0450,Low-Mid,Ather 450X (4W equiv),20.0
C0451,High,Volvo XC40 Recharge,75.0
C0452,Mid-Range,MG Comet EV,17.3
C0453,High,BYD Atto 3 Superior,60.5
C0454,Mid-Range,Mahindra XUV400 EC Pro,39.4
C0455,Mid-Range,Citroen eC3,29.2
C0456,Mid-Range,Mahindra e2o Plus,18.5
C0457,Mid-Range,Hyundai Kona Electric,39.2
C0458,Low-Mid,Ola S1 Pro (4W equiv),22.0
C0459,High,MG ZS EV Exclusive,50.3
C0460,Mid-Range,Tata Punch EV,35.0
C0461,Mid-Range,Tata Tigor EV,26.0
C0462,Mid-Range,Tata Punch EV,35.0
C0463,Low-Mid,Hero Electric Optima,12.0
C0464,Low-Mid,Hero Electric Optima,12.0
C0465,High,BMW iX1,66.5
C0466,Low-Mid,Tata Tigor EV Base,21.5
C0467,Mid-Range,Hyundai Kona Electric,39.2
C0468,Mid-Range,Citroen eC3,29.2
C0469,Mid-Range,Tata Tigor EV,26.0
C0470,Mid-Range,Tata Nexon EV,30.2
C0471,Low-Mid,Tata Tigor EV Base,21.5
C0472,High,Kia EV6,77.4
C0473,Low-Mid,Ampere Nexus,30.0
C0474,High,Hyundai Ioniq 5,72.6
C0475,Low-Mid,Ather 450X (4W equiv),20.0
C0476,Low-Mid,Tata Tigor EV Base,21.5
C0477,High,Volvo XC40 Recharge,75.0
C0478,Mid-Range,Tata Punch EV,35.0
C0479,Low-Mid,Tata Tiago EV,24.0
C0480,Low-Mid,Hero Electric Optima,12.0
C0481,Mid-Range,Tata Nexon EV,30.2
C0482,Mid-Range,Tata Nexon EV,30.2
C0483,Low-Mid,Tata Tiago EV,24.0
C0484,Low-Mid,Hero Electric Optima,12.0
C0485,Low-Mid,Ola S1 Pro (4W equiv),22.0
C0486,Low-Mid,Ola S1 Pro (4W equiv),22.0
C0487,High,Tata Nexon EV Max,40.5
C0488,Mid-Range,Mahindra e2o Plus,18.5
C0489,Mid-Range,Hyundai Kona Electric,39.2
C0490,Low-Mid,Tata Tiago EV,24.0
C0491,High,MG ZS EV Exclusive,50.3
C0492,Low-Mid,Citroen eC3 Feel,29.2
C0493,High,Tata Nexon EV Max,40.5
C0494,High,Kia EV6,77.4
C0495,Low-Mid,Ola S1 Pro (4W equiv),22.0
C0496,High,Tata Nexon EV Max,40.5
C0497,Mid-Range,Tata Nexon EV,30.2
C0498,Mid-Range,Hyundai Kona Electric,39.2
C0499,Low-Mid,Tata Tiago EV,24.0
C0500,Mid-Range,Mahindra XUV400 EC Pro,39.4
C0501,Low-Mid,Tata Tigor EV Base,21.5
C0502,Mid-Range,MG Comet EV,17.3
C0503,Mid-Range,Mahindra e2o Plus,18.5
C0504,Low-Mid,Tata Tigor EV Base,21.5
C0505,Low-Mid,Tata Tiago EV,24.0
C0506,Mid-Range,Mahindra XUV400 EC Pro,39.4
C0507,Mid-Range,Mahindra e2o Plus,18.5
C0508,High,BMW iX1,66.5
C0509,Mid-Range,Citroen eC3,29.2
C0510,Low-Mid,Ampere Nexus,30.0
C0511,High,Audi e-tron 55,95.0
C0512,Mid-Range,Hyundai Kona Electric,39.2
C0513,Mid-Range,Tata Tigor EV,26.0
C0514,Low-Mid,Tata Tigor EV Base,21.5
C0515,Low-Mid,Ola S1 Pro (4W equiv),22.0
C0516,Low-Mid,Ampere Nexus,30.0
C0517,Mid-Range,Tata Punch EV,35.0
C0518,Low-Mid,Ampere Nexus,30.0
C0519,Low-Mid,Citroen eC3 Feel,29.2
C0520,High,Volvo XC40 Recharge,75.0
C0521,Low-Mid,Tata Tigor EV Base,21.5
C0522,High,Volvo XC40 Recharge,75.0
C0523,Low-Mid,Greaves Eltra,16.0
C0524,Low-Mid,Ather 450X (4W equiv),20.0
C0525,High,Volvo XC40 Recharge,75.0
C0526,Mid-Range,Mahindra XUV400 EC Pro,39.4
C0527,Low-Mid,Tata Tiago EV,24.0
C0528,Mid-Range,Tata Punch EV,35.0
C0529,Mid-Range,Hyundai Kona Electric,39.2
C0530,High,Tata Nexon EV Max,40.5
C0531,Low-Mid,Greaves Eltra,16.0
C0532,High,Mercedes EQB,66.5
C0533,Low-Mid,Tata Tigor EV Base,21.5
C0534,Mid-Range,MG Comet EV,17.3
C0535,Mid-Range,Mahindra e2o Plus,18.5
C0536,Low-Mid,Ampere Nexus,30.0
C0537,Mid-Range,MG Comet EV,17.3
C0538,Mid-Range,Hyundai Kona Electric,39.2
C0539,Low-Mid,Ampere Nexus,30.0
C0540,Low-Mid,Citroen eC3 Feel,29.2
C0541,Mid-Range,Mahindra e2o Plus,18.5
C0542,Low-Mid,Greaves Eltra,16.0
C0543,Mid-Range,Citroen eC3,29.2
C0544,Mid-Range,Tata Tigor EV,26.0
C0545,Low-Mid,Ola S1 Pro (4W equiv),22.0
C0546,Low-Mid,Tata Tigor EV Base,21.5
C0547,Mid-Range,Tata Tigor EV,26.0
C0548,Low-Mid,Tata Tigor EV Base,21.5
C0549,Low-Mid,Greaves Eltra,16.0
C0550,Mid-Range,Tata Punch EV,35.0
C0551,Low-Mid,Tata Tigor EV Base,21.5
C0552,Low-Mid,Ampere Nexus,30.0
C0553,Low-Mid,Tata Tigor EV Base,21.5
C0554,High,MG ZS EV Exclusive,50.3
C0555,Mid-Range,Tata Nexon EV,30.2
C0556,Low-Mid,Ola S1 Pro (4W equiv),22.0
C0557,Low-Mid,Hero Electric Optima,12.0
C0558,Mid-Range,Tata Nexon EV,30.2
C0559,Low-Mid,Hero Electric Optima,12.0
C0560,Low-Mid,Citroen eC3 Feel,29.2
